stu_id,Name,Subjects,Title,stu_school,stu_year,stu_jel,Field,academic_year,Origin,Scopus_name,stu_scopus,repec_name,stu_repec
"DI MAURO, FILIPPO;American University;2000","Di Mauro, Filippo",Monetary Policy,Commodity Prices as a Tool for Monetary Management,American University,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,"Di Mauro, Filippo",16067943200,"DI MAURO, FILIPPO",pdi157
"GIDDINGS, LISA;American University;2000","Giddings, Lisa","Socialist Systems and Transitional Economies: Factor and Product Markets; Industry Studies; Population;Economics of Gender; Non-labor Discrimination;Socialist Institutions and Their Transitions: Consumer Economics; Health; Education and Training: Welfare, Income, Wealth, and Poverty",Persistent Inequality in Transition: Three Essays on Gender and Ethnicity in Bulgarian Labor Markets,American University,2000,P,Economic Systems,2000-2001,both,"Giddings, Lisa A.",6701834983,,
"MOORITY, LALITA;American University;2000","Moority, Lalita",Information and Market Efficiency; Event Studies; Insider Trading,Managing Overdrafts on Fedurre: An Empirical Analysis of Recent Developments,American University,2000,G,Financial Economics,2000-2001,both,,,,
"DOPICO, LUIS GARCIA;Auburn University;2000","Dopico, Luis Garcia","Banks; Depository Institutions; Micro Finance Institutions; Mortgages;Regional Economic Activity: Growth, Development, Environmental Issues, and Changes","Financial Integration, Banking Performance, and Economic Growth: An Analysis of the Effects of Intrastate Branching and Interstate Banking",Auburn University,2000,G,Financial Economics,2000-2001,both,"Dopico, Luis G.",6503895810,,
"STEINREICH, DALE JAMES;Auburn University;2000","Steinreich, Dale James",Banks; Depository Institutions; Micro Finance Institutions; Mortgages;Financial Institutions and Services: Government Policy and Regulation,The Causes of the Savings and Loan Debacle,Auburn University,2000,G,Financial Economics,2000-2001,both,"Steinreich, Dale",56805198000,,
"WESTLEY, CHRISTOPHER A.;Auburn University;2000","Westley, Christopher A.",Analysis of Collective Decision-Making: General,Essays on Extremism in Public Choice Economics,Auburn University,2000,D,Microeconomics,2000-2001,both,"Westley, Christopher",6602186067,,
"ZANELLA, FERNANDO CAPUTO;Auburn University;2000","Zanella, Fernando Caputo",Economic History: Macroeconomics and Monetary Economics; Industrial Structure; Growth; Fluctuations: Latin America; Caribbean;Macroeconomic Analyses of Economic Development;Formal and Informal Sectors; Shadow Economy; Institutional Arrangements,How Brazil Fell Behind: A Neoinstitutional Analysis,Auburn University,2000,N,Economic History,2000-2001,both,"Zanella, Fernando Caputo",25635025700,"ZANELLA, FERNANDO",pza132
"LEMKE, GRAHAM;Binghamton University;2000","Lemke, Graham","Trade Unions: Objectives, Structure, and Effects",Unionization and Systematic Risk,Binghamton University,2000,J,Labor and Demographic Economics,2000-2001,both,,,,
"CAHILL, KEVIN;Boston College;2000","Cahill, Kevin",Retirement; Retirement Policies;Economics of the Elderly; Economics of the Handicapped; Non-labor Market Discrimination;Labor Turnover; Vacancies; Layoffs,Heterogeneity in the Retirement Process: Patterns and Determinants of Labor Force Withdrawal among Individuals with Low-Wage and Short-Duration Jobs,Boston College,2000,J,Labor and Demographic Economics,2000-2001,both,"Cahill, Kevin E.",7005074281,"CAHILL, KEVIN E.",pca882
"CELEBI, METIN;Boston College;2000","Celebi, Metin",Electric Utilities;Economics of Regulation,Regulation of Line Capacity and Reliability in Electric Networks,Boston College,2000,L,Industrial Organization,2000-2001,both,"Celebi, Metin",8938580800,"CELEBI, METIN",pce139
