stu_id,adviser_name,commitee_members,source
"AARONSON, STEPHANIE RUTH;Columbia University;2001",Stephen Cameron,,academictree
"ABDELAL, KHALED MOHAMMAD;Kansas State University;2001",Patrick Gormely,E. Wayne Nafziger; Yang-Ming Chang; David Norman; Amir Tavakkol; Robert Cochran,Dissertation
"ABDI, S. TAHIR ABBAS;Carleton University;2002",Ehsan Choudhri,Keith Acheson; Larry Schembri; David Gray,Dissertation
"ABDIH, YASSER KHODR;George Washington University;2003",Frederick L. Joutz,,academictree
"ABDOULAYE, TAHIROU A;Purdue University;2002",John Sanders,Jess Lowenberg-DeBoer; Timothy Baker; John Graveel,Dissertation
"ABIAD, ABDUL;University of Pennsylvania;2002",Roberto S. Mariano,,Email; academictree
"ABIDIN, ZARINA ZAINAL;Brown University;2002",Robin L. Lumsdaine; Peter Reinhard Hansen,Bent Sorensen; Peder J. Estrup,Dissertation
"ABRANTES-METZ, ROSA MARIA;University of Chicago;2002",Larry Sjaastad,,academictree
"ABU-ALI, MOHAMMED;George Mason University;2004",Willem H. Thorbecke,,academictree
"ABU-GHAIDA, DINA;Georgetown University;2000",James Albrecht,James Tybout; Susan Vroman,Dissertation
"ABU-QARN, AAMER;Northeastern University;2002",M. Shahid Alam,Daryl Hellman; Gregory Wassall,Dissertation
"ABUMUSTAFA, NASER I.;Fordham University;2002",Derrick Reagle,Dominick Salvatore; Henry Schwalbenberg,Email; academictree
"ACEVEDO, CARLOS;Vanderbilt University;2003",Peter L. Rousseau,,academictree
"ACKERMAN, DEENA;University of Wisconsin;2001",Robert Haveman,James Andreoni; Andrew Reschovsky,University; academictree
"ADAMS, CHRISTOPHER PAUL;University of Wisconsin;2001",Larry Samuelson,John Kennan; Phil Haile,Dissertation
"ADAMS, KRISTIN;University of Virginia;2002",Christopher Otrok,T. Wake Epps; Massimo Guidolin,Email; Advisor CV; academictree
"ADAMS, RENEE BIRGIT;University of Chicago;2001",Canice Prendergast,,academictree
"ADRIAN, TOBIAS;Massachusetts Institute of Technology;2003",Olivier J. Blanchard; Xavier Gabaix; Steven A. Ross,,Dissertation
"ADSHADE, MARINA;Queen's University;2004",Huw Lloyd-Ellis,,CV
"AGRAWAL, REENA JAIN;Vanderbilt University;2000",Andrew Horowitz,Kathryn Anderson; James Foster; Anandi Mani; Marshall Eakin,Dissertation
"AGRONIN, EUGENE;Harvard University;2004",John Y. Campbell,,academictree
"AHLIN, CHRISTIAN ROBERT;University of Chicago;2001",Robert M. Townsend,Gary S. Becker; Maitreesh Ghatak,CV
"AHMAD, FARIZA;University of Illinois;2002",Michael R. Ward,George Deltas; Angela Lyons; Laurian Unnevehr,Dissertation
"AHMAD, TAHA KHALED;Colorado State University;2000",Ronnie J. Phillips,,Advisor CV; academictree
"AHMED, HIBA;Michigan State University;2000",John P. Hoehn,Sandra Batie; Carl Eicher; James Oehmke; Thomas Reardon; Jeffrey Wooldridge,Dissertation
"AHN, DAVID SEHUN;Stanford University;2004",Robert B. Wilson,David P. Baron; Peter Hammond,Dissertation
"AHN, EUN;University of Illinois, Chicago;2003",Houston H. Stokes,Jin Man Lee; Helen Roberts; Mo-Yin Tam; Bruce Howard,Dissertation
"AHN, GEUN MEE;University of Washington;2003",Stephen J. Turnovsky,,academictree
"AHN, SOON KWON;University of Missouri;2004",Ronald A. Ratti,,academictree
"AHN, THOMAS SAE YOUNG;Duke University;2003",Peter Arcidiacono,Thomas Nechyba; Curtis Taylor; Jacob Vigdor,Dissertation
"AHUJA, ASHVIN;University of Minnesota;2002",Michele Boldrin,,Dissertation
