field,journal_name,class,scopus_id,former_scopus_id
Econ,American Economic Review,AAA,22697,
Econ,Econometrica,AAA,19482,
Econ,Journal of Political Economy,AAA,24404,
Econ,Quarterly Journal of Economics,AAA,29431,
Econ,Review of Economic Studies,AAA,24202,
Econ,Economic Journal,AA,23011,
Econ,European Economic Review,AA,20749,
Econ,International Economic Review,AA,23666,
Econ,Journal of the European Economic Association,AA,7500153126,
Econ,Review of Economics and Statistics,AA,24204,
Econ,Applied Economics,A,18768,
Econ,Canadian Journal of Economics,A,21386,
Econ,Economic Inquiry,A,20002,
Econ,Economica,A,20048,
Econ,Economics Letters,A,28490,
Econ,Economy and Society,A,26043,
Econ,Journal of Economic Literature,A,27165,
Econ,Journal of Economic Perspectives,A,28980,
Econ,Oxford Bulletin of Economics and Statistics,A,22902,21100874207
Econ,Oxford Economic Papers,A,22903,
Econ,Scandinavian Journal of Economics,A,24849,
Econ,Southern Economic Journal,A,25494,
Econ,Annales d'Economie et de Statistique,B,28855,21100888787
Econ,Annals of Economics and Finance,B,19200156908,
Econ,Applied Economics Letters,B,18769,
Econ,B.E. Journal of Economic Analysis and Policy: Advances,B,28390,
Econ,B.E. Journal of Economic Analysis and Policy: Contributions,B,52856,
Econ,Bulletin of Economic Research,B,20097,
Econ,CESifo Economic Studies,B,100147301,
Econ,Contemporary Economic Policy,B,21995,
Econ,Eastern Economic Journal,B,19455,
Econ,Economic Record,B,20023,
Econ,Economics Bulletin,B,6700153287,
Econ,Empirical Economics,B,20642,
Econ,European Journal of Political Economy,B,64461,
Econ,German Economic Review,B,25564,
Econ,Japan and the World Economy,B,28957,
Econ,Japanese Economic Review,B,81032,
Econ,Journal of Economic Education,B,24350,
Econ,Journal of Economic Surveys,B,24353,
Econ,Journal of Economics (Zeitschrift für Nationalökonomie),B,24356,
Econ,Journal of Policy Analysis and Management,B,15821,
Econ,Journal of the Japanese and International Economies,B,29401,
Econ,Journal of the Royal Statistical Society: Series A (Statistics in Society),B,13530,
Econ,Kyklos,B,16110,
Econ,Manchester School,B,29020,39042
Econ,Oxford Review of Economic Policy,B,22904,
Econ,Research in Economics,B,23736,9700153221
Econ,Ricerche Economiche,B,9700153221,
Econ,Scottish Journal of Political Economy,B,24884,
Econ,Social Science Quarterly,B,26439,
Econ,Agenda,C,23036,
Econ,Applied Economics Quarterly,C,21100902621,
Econ,Konjunkturpolitik,C,,
Econ,Atlantic Economic Journal,C,145660,
Econ,Australian Economic Papers,C,18880,
Econ,Australian Economic Review,C,18881,
Econ,B.E. Journal of Economic Analysis and Policy: Topics,C,29533,
Econ,Business and Politics,C,145349,
Econ,Business Economics,C,20176,
Econ,Capitalism and Society,C,14000155239,
Econ,Challenge,C,21100255381,
Econ,Competition and Change,C,21100255381,
Econ,De Economist,C,20077,
Econ,Econ Journal Watch,C,11800154541,
Econ,Economic and Social Review,C,19980,
Econ,Economic Issues,C,23011,
Econ,Economic Outlook,C,24850,
Econ,Economists’ Voice,C,4000152130,
Econ,EIB Papers,C,21100255724,
Econ,Ekonomia,C,21100255724,
Econ,Cyprus Journal of Economics,C,20077,
Econ,Empirica,C,24965,
Econ,Environment and Planning C: Politics and Space,C,21100826425,14610
Econ,Environment and Planning C: Government and Policy,C,14610,
Econ,Faith and Economics,C,,
Econ,Federal Reserve Bank of Chicago Economic Perspectives,C,,
Econ,Foundations and Trends in Microeconomics,C,19400158378,
Econ,Giornale degli Economisti e Annali di Economia,C,3900148208,
Econ,Global Business and Economics Review,C,3900148208,
Econ,Independent Review,C,19707,
Econ,International Journal of Social Economics,C,23717,
Econ,International Review of Economics Education,C,21100255539,
Econ,Jahrbucher fur Nationalokonomie und Statistics,C,27132,
Econ,Journal of Bioeconomics,C,29554,
Econ,Journal of Economic Interaction and Coordination,C,4700152637,
Econ,"Journal of Quantitative Economics, New Series",C,,
Econ,Juncture,C,5800175373,145677
Econ,New Economy,C,55098,
Econ,Metroeconomica,C,21781,
Econ,Moneda y Crédito,C,,
Econ,New Economy,C,55098,
Econ,New Zealand Economic Papers,C,19900191763,
Econ,OECD Journal: Economic Studies,C,19700201537,24107
Econ,OECD Economic Studies,C,24107,
Econ,Perspektiven der Wirtschaftspolitik,C,25616,
Econ,Policy Sciences,C,22773,
Econ,Portuguese Economic Journal,C,144934,
Econ,Public Policy Research,C,145677,55098
Econ,Recherches Economiques de Louvain/Louvain Economic Review,C,23702,
Econ,Revue Economique,C,5700163831,
Econ,Revue Française d'Economie,C,,
Econ,Rivista di Politica Economica,C,,
Econ,Schmollers Jahrbucher,C,,
Econ,Schweizerische Zeitschrift für Volkswirtschaft und Statistik/Swiss Journal of Economics and Statistics,C,24873,
Econ,Singapore Economic Review,C,24982,38851
Econ,Spanish Economic Review,C,26807,
C,Journal of Econometrics,AA,28973,
C,Econometric Theory,A,28464,
C,Journal of Applied Economics,A,6600153102,
C,Journal of Business and Economic Statistics,A,27162,
C,Journal of the American Statistical Association,A,12094,
C,Computational Economics,B,19053,
C,Econometrics Journal,B,4700152266,
C,International Journal of Forecasting,B,22706,
C,Journal of Forecasting,B,20606,
C,Studies in Nonlinear Dynamics and Econometrics,B,144730,
C,Allgemeines Statistisches Archiv/Journal of the German Statistical Society,C,13627,
C,AStA Advances in Statistical Analysis,C,11800154594,13627
C,Computational Management Science,C,144815,
C,Journal of Applied Statistics,C,12119,
C,Journal of Economic and Social Measurement,C,12115,80639
C,Mathematical Methods of Operations Research,C,21805,
C,Metrika,C,12837,
