adv,adv_scopus-name,adv_scopus
A. Gene Nelson,"Nelson, A. Gene",57190922609
Aaron Edlin,"Edlin, Aaron S.",6603823807
Aaron Edlinl,"Edlin, Aaron S.",6603823807
Aaron S. Edlin,"Edlin, Aaron S.",6603823807
Aaron Smith,"Smith, Aaron D.",56128096900
Aaron Toraell,"Tornell, Aarón",6701633195
Aaron Tornell,"Tornell, Aarón",6701633195
Abhijit Banerjee,"Banerjee, Abhijit V.",7402886108
Abhijit V. Banerjee,"Banerjee, Abhijit V.",7402886108
Abigail Tay,"Tay, Abigail",8340474100
Abraham Neyman,"Neyman, Abraham",7004398575
Adam Brandenburger,"Brandenburger, Adam M.",16241174800
Adam Jaffe,"Jaffe, Adam B.",7202824688
Adamentia Pollis,"Pollis, Adamantia",7801331554
Adonis Yatchew,"Yatchew, Adonis John",6603409028
Adrian M. Austin,"Austin, Adrian",56452531300
Adrian R. Pagan,"Pagan, Adrian R.",56230523500
Ahmed Hussen,"Hussen, Ahmed M.",24791217300
Ahmed W. Khwaja,"Khwaja, Ahmed",12545041400
Aimee Chin,"Chin, Aimee",9237321000
Ake Blomqvist,"Blomqvist, Åke G.",7004842237
Akram Temimi,"Temimi, Akram",6506503497
Al Campbell,"Campbell, Al",8945037500
Al Roth,"Roth, Alvin E E.",7403051360
Al Slivinski,"Slivinski, Al D.",7801335712
Alain de Janvry,"Janvry, Alain De",57195644473
Alan Auerbach,"Auerbach, Alan J.",55953326600
Alan B. Krueger,"Krueger, Alan B.",7102925200
Alan Blinder,"Blinder, Alan S.",56209838200
Alan C. Stockman,"Stockman, Alan C.",7006086543
Alan G Isaac,"Isaac, Alan G.",7005291734
Alan Green,"Green, Alan G.",7404024922
Alan J. Auerbach,"Auerbach, Alan J.",55953326600
Alan M. Taylor,"Taylor, Alan M.",57108793100
Alan Marcus,"Marcus, Alan J.",7202550831
Alan Montgomery,"Montgomery, Alan L.",7101802270
Alan S. Blinder,"Blinder, Alan S.",56209838200
Alan Slivinski,"Slivinski, Al D.",7801335712
Alan Stockman,"Stockman, Alan C.",7006086543
Alan Swedlund,"Swedlund, Alan C.",6602633267
Alan V. Deardorff,"Deardorff, Alan Verne",7003783439
Alan de Janvry,"Janvry, Alain De",57195644473
Alanson Minkler,"Minkler, Alanson P.",6603092701
Alanson P. Minkler,"Minkler, Alanson P.",6603092701
Alastair Hall,"Hall, Alastair R.",7403288842
Alastair R. Hall,"Hall, Alastair R.",7403288842
"Albert ""Pete"" Kyle","Kyle, Albert S.",7004266406
Albert A. Cannella,"Cannella, Albert A.",55904773500
Albert Ching-to Ma,"Ma, Ching To Albert",7402925175
Albert Choi,"Choi, Albert H.",7103350880
Albert Francis Park,"Park, Albert",12794227800
Albert K. Ando,"Ando, Albert",24362133000
Alberto Alesina,"Alesina, Alberto F.",55886519200
Alberto Bennardo,"Bennardo, Alberto",6506522584
Alberto Bisin,"Bisin, Alberto",6603061995
Alejandro Manelli,"Manelli, Alejandro M.",6701701283
Alessandra Casella,"Casella, Alessandra",7003380130
Alessandro Lizzeri,"Lizzeri, Alessandro",6603644753
Alex Anas,"Anas, Alex",7003676897
Alex E. Winter-Nelson,"Winter-Nelson, Alex E.",6602125028
Alex Kane,"Kane, Alex",24294687000
Alex Korostelev,"Korostelev, Alexander P.",56218574000
Alexandra Bernasek,"Bernasek, Alexandra",55935353400
