our_name,Scopus
2004 Kerry presidential campaign,
Aarhus University,60029616
ABB Inc.,60090134
Abbot Laboratories,60001681
Abilene Christian University,60026136
Abt Associates,60018290
Abu Dhabi University,60074315
Academia Sinica,60019499
Acadia University,60029680
acnielsen,60079338
Adams State University,60013753
Addis Ababa University,60071181
Adelphi University,60022908
Adrian College,60010279
AES/Competition Policy Associates,
Afghan Ministry of Finance,
AFP - Pension Fund Administrators,
Africa University,60048869
Afyon Kocatepe University,60027222
Akdeniz University,60010104
Akita International University,60033480
Al-Zaytoonah University,60067411
Alabama A&M University,60008740
Alabama State University,60027501
Alaska Pacific University,60004989
Albany State University,60026521
Albion College,60012734
Albright College,60005633
Alcorn State University,60007538
Alexandria University,60033041
Alfred P. Sloan Foundation,60027023
Alfred University,60017263
Algorithmics,100327894
Allegheny College,60012650
Allen & Overy LLP,
Alliant International University,60020399
Alma College,60015594
American College,100361516
American College of Radiology,60031726
American Economics Group,60025444
American Express,60008840
American Institutes for Research,60013357
American Re,100754073
American University,60020420
American University Cairo,60019087
American University Dubai,60070790
American University in Cairo,60019087
American University of Armenia,60070837
American University of Beirut,60068761
American University Sharjah,60070791
Amherst College,60032372
Anadolu University,60016238
"Analysis Group, Inc.",60027567
Analytic Investors,60112998
Anderson Consulting,100359201
Anderson University,60021345
Andrews University,60018593
Angelo State University,60023735
Ankara University,60012603
Appalachian State University,60020441
"ApplEcon, LLC",
Aquinas College,60097396
"Arab Academy for Science, Technology & Maritime Transport",60007253
Arab African International Bank,
Arab Monetary Fund,
Arcadia University,60017205
Arizona State University,60003892
Arkansas State University,60032507
Arkansas Tech University,60001931
Armstrong State University,60027635
Arrowstreet Capital,100840293
Arthur Andersen LLP,100349025
Ashland University,60017130
Asian Development Bank,60071431
Asian Development Bank Institute,60257349
Asociación Bancaria de Venezuela,
Assuit University,60000617
Assumption College,60022236
AT&T,60014300
Ateneo de Manila University,60071457
Athabasca University,60018510
Athens State University,60032166
Athens University of Economics and Business,60019507
Auburn University,60011754
Auburn University at Montgomery,60029323
Augsburg University,60012827
"August-Gram Consulting, Inc",
Augusta State University,60014801
Augustana College,60008019
Augustana University,60032004
Aurora University,60101215
Austin Peay State University,60019081
Australian Graduate School of Management,60073904
Australian National University,60008950
Ave Maria College,60158049
AXA Rosenberg,
Azusa Pacific University,60025588
Babson College,60025239
Bain & Co,100397809
Baldwin-Wallace College,60025683
Balikesir University,60013929
Ball State University,60028244
Banco Central de Nicaragua,101098417
Banco de la Republica de Uruguay,107990457
Bangor University,60025779
Bank for International Settlements,60005819
Bank of America,60001466
Bank of Canada,60027607
Bank of Ecuador,
Bank of England,60026391
Bank of Estonia,60175892
Bank of Guatemala,
Bank of Italy,60082963
Bank of Japan,60112314
