Scopus,country,2000,2001,2002,2003,2004
60026136,US,14034664000;35330594700;36551451100;55221267700;55251260200;56256779600;7005921156,35330594700;36551451100;36755859000;54395257100;55221267700;56256779600;6603793347;7005921156,35330594700;36551451100;36755859000;54395257100;55221267700;56256779600;6603793347;7005921156,35330594700;36551451100;36755859000;54395257100;55221267700;56256779600;6603793347;7005921156;9278688000,36551451100;55221267700;7005921156
60029680,CA,57194439404,57194439404,57194439404,57194439404,57194439404;8527544700
60013753,US,55335360100,55335360100;8148103000,55335360100;8148103000,55335360100;8148103000,55335360100;8148103000
60022908,US,57189166669;6505563196;6505953267;8434494300,57189166669;6505563196;6505953267;6602718841;8434494300,57189166669;6505563196;6505953267;6602718841;8434494300,57189166669;6505563196;6505953267;6602718841;7408523355;8434494300,57189166669;6505563196;6505953267;6602718841
60008740,US,36442448000;55449845700;55658305000;55696423200;55993143500;56246596800;57198890364,36442448000;55449845700;55658305000;55696423200;55993143500;56246596800;57198890364,36442448000;55449845700;55658305000;55696423200;55993143500;56246596800;57198890364,36442448000;55449845700;55658305000;55696423200;55993143500;56246596800;57198890364;8232486600,36442448000;55658305000;55696423200;55993143500;57198890364;8232486600
60027501,US,57194882070;6505848306;6701757730;7401671740;7403424533,57194882070;6505848306;6701757730;7401671740;7403424533,57194882070;6505848306;6701757730;7401671740;7403424533,57194882070;6505848306;6701757730;7401671740;7403424533,57194882070;6505848306;6701757730;7401671740;7403424533
60026521,US,57878661100;6505700452,56491134200;57152417600;57878661100;6505700452;7202391829,56491134200;57878661100;6505700452;7202391829,56491134200;57201189758;57878661100;6505700452;7202391829,57878661100;6505700452;7202391829
60007538,US,57192939837,57192939837;57215604492,57192939837,57192939837,36726045900
60017263,US,6504614506;6506373954;6508253530;7102218061,6504614506;6506373954;6508253530;7102218061,7102218061,16311372400,23487903700;57195254907
60020399,US,24333031800;55492133800;57196490480;7005169813;7403983745,,,,
60020420,US,14020709300;16427631800;36860440200;55492812500;55730117000;55824919400;57189674285;57190104155;57190480516;57190482193;57190901817;6505816683;6506302024;6506448923;6506495753;6508358567;6602320184;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7004542992;7005291734;7005486027;7005848448;7006352380;7006512019;7102336968;7103178355;7401532406,14020709300;16427631800;36860440200;55492812500;55730117000;55824919400;57189674285;57190104155;57190480516;57190482193;57190901817;6505816683;6506302024;6506448923;6506495753;6508358567;6602320184;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7004542992;7005291734;7005486027;7005848448;7006319973;7006352380;7006512019;7102336968;7103178355;7401532406,14020709300;16427631800;55492812500;55730117000;55824919400;57189674285;57190104155;57190480516;57190482193;57190901817;6506302024;6506448923;6506495753;6508358567;6602320184;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7004542992;7005291734;7005486027;7005848448;7006319973;7006352380;7006512019;7102336968,12786603500;13003792800;14020709300;14834046600;15729445600;16427631800;55492812500;55730117000;55824919400;57189674285;57190104155;57190480516;57190482193;57190901817;6506302024;6506448923;6506495753;6508358567;6602320184;6602342154;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7004542992;7005291734;7005486027;7005848448;7006319973;7006352380;7006512019;7102336968,12786603500;14020709300;14834046600;15729445600;16427631800;55492812500;55824919400;56307889200;57189674285;57190104155;57190480516;57190482193;57190901817;6506448923;6506495753;6508358567;6602320184;6602342154;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7005291734;7005486027;7005848448;7006319973;7006352380;7102336968;7102361777
60021345,US,,,,7103234106,
60018593,US,12761134300;36069047400;55847884500;7102675443,36069047400,36069047400,14521235400;36069047400,36069047400
60023735,US,15827564400;36682195200,15827564400;36682195200;48461578400,15827564400;36682195200;48461578400;56376388700,15827564400;38661339400;48461578400;56376388700,15827564400;38661339400;48461578400;56376388700
