adv_scopus,year,adv_euclid,adv_experience,adv_citestock,citeflow,citeflow_growth1,citestock_growth1,citestock_growth3,citestock_growth9699
6504037600,2004,0,0,0,0,0,0,0,0
6504037600,2005,0,1,0,0,0,0,0,0
6504037600,2006,3,2,3,3,0,0,0,0
6504037600,2007,5,3,5,2,-0.33333,0.66667,0,0
6504037600,2008,8,4,8,3,0.5,0.6,0,0
6504037600,2009,11.045,5,12,4,0.33333,0.5,3,0
6504037600,2010,12.042,6,13,1,-0.75,0.083333,1.6,0
6504037600,2011,14.353,7,18,5,4,0.38462,1.25,0
6504037600,2012,15.652,8,21,3,-0.4,0.16667,0.75,0
6504037600,2013,19.416,9,27,6,1,0.28571,1.0769,0
6504037600,2014,26.115,10,38,11,0.83333,0.40741,1.1111,0
6504037600,2015,29.12,11,44,6,-0.45455,0.15789,1.0952,0
6504369055,1997,16.432,30,50,3,2,0.06383,0.19048,0.14894
6504369055,1998,16.763,31,51,1,-0.66667,0.02,0.1087,0.14894
6504369055,1999,17.72,32,54,3,2,0.058824,0.14894,0.14894
6504369055,2000,17.72,33,54,0,-1,0,0.08,0.14894
6504369055,2001,17.72,34,54,0,0,0,0.058824,0.14894
6504369055,2002,18.921,35,56,2,0,0.037037,0.037037,0.14894
6504369055,2003,19.9,36,58,2,0,0.035714,0.074074,0.14894
6504369055,2004,20.174,37,59,1,-0.5,0.017241,0.092593,0.14894
6504369055,2005,21.564,38,63,4,3,0.067797,0.125,0.14894
6504369055,2006,21.977,39,65,2,-0.5,0.031746,0.12069,0.14894
6504369055,2007,22.782,40,67,2,0,0.030769,0.13559,0.14894
6504369055,2008,23.152,41,68,1,-0.5,0.014925,0.079365,0.14894
6504369055,2009,24.083,42,70,2,1,0.029412,0.076923,0.14894
6504369055,2010,25.475,43,73,3,0.5,0.042857,0.089552,0.14894
6504369055,2011,26.096,44,75,2,-0.33333,0.027397,0.10294,0.14894
6504369055,2012,26.608,45,78,3,0.5,0.04,0.11429,0.14894
6504369055,2013,27.532,46,80,2,-0.33333,0.025641,0.09589,0.14894
6504369055,2014,27.821,47,82,2,0,0.025,0.093333,0.14894
6504369055,2015,28.758,48,85,3,0.5,0.036585,0.089744,0.14894
6504581239,2004,2,0,2,2,0,0,0,0
6504581239,2005,3,1,3,1,-0.5,0.5,0,0
6504581239,2006,6,2,6,3,2,1,0,0
6504581239,2007,7,3,7,1,-0.66667,0.16667,2.5,0
6504581239,2008,8,4,8,1,0,0.14286,1.6667,0
6504581239,2009,13,5,13,5,4,0.625,1.1667,0
6504581239,2010,16,6,16,3,-0.4,0.23077,1.2857,0
6504581239,2011,19,7,19,3,0,0.1875,1.375,0
6504581239,2012,26,8,26,7,1.3333,0.36842,1,0
6504581239,2013,33,9,33,7,0,0.26923,1.0625,0
6504581239,2014,35.057,10,37,4,-0.42857,0.12121,0.94737,0
6504581239,2015,40.087,11,51,14,2.5,0.37838,0.96154,0
6504794326,1997,24.125,27,32,0,-1,0,0.032258,0
6504794326,1998,24.125,28,32,0,0,0,0.032258,0
6504794326,1999,24.125,29,32,0,0,0,0,0
6504794326,2000,24.125,30,32,0,0,0,0,0
6504794326,2001,24.125,31,32,0,0,0,0,0
6504794326,2002,24.125,32,32,0,0,0,0,0
6504794326,2003,25.08,33,33,1,0,0.03125,0.03125,0
6504794326,2004,25.08,34,33,0,-1,0,0.03125,0
6504794326,2005,25.377,35,34,1,0,0.030303,0.0625,0
6504794326,2006,26.439,36,37,3,2,0.088235,0.12121,0
6504794326,2007,26.495,37,38,1,-0.66667,0.027027,0.15152,0
6504794326,2008,27.441,38,39,1,0,0.026316,0.14706,0
6504794326,2009,27.441,39,39,0,-1,0,0.054054,0
6504794326,2010,28.39,40,40,1,0,0.025641,0.052632,0
6504794326,2011,28.478,41,41,1,0,0.025,0.051282,0
6504794326,2012,28.601,42,42,1,0,0.02439,0.076923,0
6504794326,2013,28.601,43,42,0,-1,0,0.05,0
6504794326,2014,29.547,44,43,1,0,0.02381,0.04878,0
