adv_scopus,adv_jel
6504037600,G
6504581239,H
6504821156,G
6505831055,N
6505855195,F
6505868404,F
6505880331,R
6505895938,D
6505906505,F
6505948382,F
6505956030,C
6505964792,D
6506002819,F
6506018432,F
6506030634,C
6506064150,F
6506069255,H
6506080274,O
6506102163,H
6506117260,D
6506142568,G
6506167873,G
6506182778,F
6506183471,J
6506236651,F
6506247301,E
6506249938,R
6506293891,F
6506366778,G
6506380387,C
6506433914,G
6506453568,E
6506463002,H
6506495459,J
6506501442,E
6506503497,D
6506516828,H
6506519938,F
6506529436,F
6506569572,E
6506622566,O
6506641986,G
6506648330,D
6506656439,E
6506663833,G
6506685359,F
6506713977,J
6506729213,D
6506762548,F
6506782186,L
6506791191,H
6506806820,F
6506828928,G
6506846175,C
6506887356,C
6506890667,G
6506901141,G
6506901871,F
6506908040,D
6506934372,C
6506962565,F
6506983576,E
6506992844,C
6507000513,C
6507038812,L
6507114608,O
6507224425,G
6507229361,N
6507229806,N
6507256174,F
6507261967,F
6507289902,D
6507404265,D
6507421240,F
6507424862,G
6507434029,F
6507435372,D
6507469427,D
6507505955,H
6507562386,H
6507581398,F
6507617582,E
6507639810,C
6507714587,L
6507716785,R
6507731646,K
6507756424,L
6507784066,D
6507803459,C
6507841899,H
6507842888,G
6507847070,C
6507855839,C
6507858141,G
6507891594,H
6507903383,O
6507914219,J
6507932927,R
6507966815,R
6508013196,L
6508019089,D
6508025135,G
6508035872,E
6508039617,D
6508041519,G
6508065609,G
6508135702,D
6508154857,F
6508158812,J
6508213226,C
6508218479,C
6508227011,D
6508261469,H
6508263742,E
6508296287,D
6508308574,H
6508358567,O
6601908752,M
6601915849,L
6601918039,F
6601939975,D
6601946676,R
6601949789,C
6601955862,C
6601956374,H
6601956386,N
6601957054,O
6601962551,C
6601963673,P
6601975393,J
6601977446,G
6601986981,C
6601990137,F
6601996611,F
6601999318,C
6602003332,O
6602073905,F
6602075696,E
6602087741,J
6602092821,C
6602094269,C
6602099638,H
6602101039,L
6602103851,D
6602109586,D
6602110792,R
6602118284,N
6602119998,G
6602124920,E
6602125028,O
6602129229,G
6602144540,E
6602150460,N
6602150854,C
6602154937,D
6602155096,R
6602158485,H
6602160635,H
6602160746,G
6602161395,F
6602165467,D
6602169267,G
6602172555,D
6602176904,O
6602179235,D
6602184580,D
6602188638,C
6602200141,H
6602205596,O
6602206374,J
6602208598,K
6602208728,D
6602214315,D
6602215836,C
6602217134,J
6602220518,G
6602225622,F
6602238547,D
6602239955,C
6602250841,L
6602260007,I
6602262292,G
6602264178,R
6602264505,E
6602266416,J
6602266495,G
6602267759,J
6602281049,J
6602281565,D
6602295117,D
6602302926,F
6602303699,E
6602305858,E
6602306535,G
6602311496,H
6602314224,R
6602320184,H
6602325953,G
6602328796,J
6602336093,F
6602336869,E
6602350004,G
6602353309,E
6602353893,R
6602361493,G
6602362990,E
6602373317,L
6602376770,O
6602378515,G
6602386332,D
6602386839,G
