node,first_ev-w_mean,first_ev-w-win99_mean,first_ev-w-std_mean,first_ev-w-win99-std_mean,first_deg_mean,second_ev-w_mean,second_ev-w-win99_mean,second_ev-w-std_mean,second_ev-w-win99-std_mean,second_deg_mean,first_dec,second_dec,third_dec,adv_ev-w,adv_ev-w-win99,adv_ev-w-std,adv_ev-w-win99-std,adv_deg,adv_ev-w_d,adv_ev-w-win99_d,adv_ev-w-std_d,adv_ev-w-win99-std_d
10339832500,2.867188447113204e-09,2.867188447113204e-09,-0.04542423076582384,-0.1426149659082813,9.8,2.3767384746880748e-08,2.3767384746880748e-08,-0.04542020394061143,-0.14127222778173448,10.044444444444444,0,0,0,1.5807242967301447e-10,1.5807242967301447e-10,-0.045423524110145004,-0.14279025222108957,6,1.580274382157897e-10,1.580274382157897e-10,-0.04544195480192839,-0.14276925588550868
11541201900,5.79096678346148e-09,5.79096678346148e-09,-0.045423667444361514,-0.14242712728117526,10.0,2.903184290194418e-08,2.903184290194418e-08,-0.0454191896421165,-0.140934011618091,7.7,0,0,0,7.412826502173442e-11,7.412826502173442e-11,-0.0454235402840402,-0.14279564626157829,2,7.411755730032433e-11,7.411755730032433e-11,-0.045441970962684174,-0.14277463235093107
11639185900,5.4815767830186284e-08,5.4815767830186284e-08,-0.04541360736799868,-0.13927779388538353,7.0,3.944462190106619e-07,3.944462190106619e-07,-0.04534817014123998,-0.11745607549354599,9.392857142857142,0,0,0,4.007215957792271e-09,4.007215957792271e-09,-0.045422782478558424,-0.14254291595746954,4,4.007173719835382e-09,4.007173719835382e-09,-0.04544121346953282,-0.14252262459890497
12772232000,4.875292039780456e-08,4.875292039780456e-08,-0.04541477550457643,-0.13966733245905857,7.0,9.004985787710648e-07,9.004985787710648e-07,-0.0452506680943193,-0.08494151603705,9.254237288135593,0,0,0,6.768348086395653e-09,6.768348086395653e-09,-0.04542225047896258,-0.14236549256469114,11,6.7680813467866946e-09,6.7680813467866946e-09,-0.04544068172817634,-0.14234572142339288
12794227800,6.002174523618284e-09,6.002174523618284e-09,-0.04542424109374417,-0.14241296953224372,7.5,9.526446452522539e-08,9.526446452522539e-08,-0.04540704322663939,-0.13667883845366355,7.366197183098592,0,0,0,1.9058414560127152e-09,1.9058414560127152e-09,-0.045423187359720785,-0.14267794498767838,18,1.904615177429321e-09,1.904615177429321e-09,-0.04544161841510959,-0.14265734452912673
13004984200,9.414818856087919e-10,9.414818856087919e-10,-0.04542521614098259,-0.1427380696575542,7.4,1.0115541624916188e-08,1.0115541624916188e-08,-0.045423448605551836,-0.14214873612184453,6.485714285714286,0,0,1,6.016053867538391e-11,6.016053867538391e-11,-0.045423542975264096,-0.1427965437924759,7,5.974383052715047e-11,5.974383052715047e-11,-0.045441973731014745,-0.1427755533371623
13204605100,4.6818231264571926e-08,4.6818231264571926e-08,-0.04541576266947095,-0.13979130011634683,13.285714285714286,2.038327170680042e-07,2.038327170680042e-07,-0.04538551080575276,-0.1297038666163934,8.168674698795181,0,0,1,7.0278329854871706e-09,7.0278329854871706e-09,-0.0454222004828541,-0.14234881871895422,8,7.027009691194503e-09,7.027009691194503e-09,-0.0454406318594637,-0.14232913077548104
13604847500,2.871230830437477e-09,2.871230830437477e-09,-0.04542422998816036,-0.14261470647032934,3.0,5.848854455500424e-08,5.848854455500424e-08,-0.04541351424186113,-0.13904155880466715,8.333333333333334,0,0,0,4.467010350518161e-11,4.467010350518161e-11,-0.04542354595987508,-0.14279753916880542,2,4.467002211392734e-11,4.467002211392734e-11,-0.045441976634178635,-0.1427765191806224
13606852000,8.061659391091648e-10,8.061659391091648e-10,-0.045424627862856344,-0.14274737712743493,5.0,1.7454842529302182e-09,1.7454842529302182e-09,-0.04542444688509832,-0.14268703039697223,11.4,0,0,0,7.647312032710478e-12,7.647312032710478e-12,-0.04542355309322081,-0.1427999181600913,2,7.647143962059248e-12,7.647143962059248e-12,-0.04544198376465821,-0.14277889139497962
13610607000,2.9442721633463676e-07,2.9442721633463676e-07,-0.045367440349332135,-0.12388222266843028,4.25,1.7487721636951091e-06,1.7487721636951091e-06,-0.04508722902030599,-0.030438576469470287,12.333333333333334,0,0,0,5.412644624937481e-08,5.412644624937481e-08,-0.04541312578376183,-0.13932238051490348,4,5.411596022844675e-08,5.411596022844675e-08,-0.04543156268880795,-0.1393119400515851
14035149900,2.660607560312382e-07,2.660607560312382e-07,-0.04537413641998137,-0.12570701362095008,6.0,3.740979674867035e-06,3.740979674867035e-06,-0.04470463540488546,0.0975187229426826,6.5,0,0,0,1.323613428339146e-08,1.323613428339146e-08,-0.0454210043018575,-0.14194988892191407,8,1.323612444716171e-08,1.323612444716171e-08,-0.045439436005219755,-0.14193128620193318
