institution,year,rank,score
60000009,1995,685,2
60000009,1996,644,4
60000009,1997,765,4
60000009,1998,859,4
60000009,1999,903,4
60000009,2000,781,6
60000009,2001,804,6
60000009,2002,780,7
60000009,2003,651,11
60000009,2004,585,15
60000009,2005,685,12
60000009,2006,774,11
60000009,2007,719,14
60000009,2008,843,12
60000009,2009,790,15
60000009,2010,658,22
60000009,2011,591,28
60000009,2012,615,28
60000009,2013,580,32
60000009,2014,670,27
60000009,2015,774,22
60000009,2016,834,20
60000009,2017,824,21
60000009,2018,797,23
60000009,2019,699,30
60000009,2020,695,32
60000015,2006,1857,1
60000015,2007,1963,1
60000015,2008,2085,1
60000015,2009,2176,1
60000015,2010,2287,1
60000015,2013,2543,1
60000015,2014,2166,2
60000015,2015,2258,2
60000015,2016,2290,2
60000015,2017,2336,2
60000015,2018,2944,1
60000018,2004,1694,1
60000018,2005,1759,1
60000018,2006,1857,1
60000018,2007,1963,1
60000018,2008,2085,1
60000018,2009,1800,2
60000018,2010,1855,2
60000018,2011,1924,2
60000018,2012,2015,2
60000018,2013,1814,3
60000018,2014,2623,1
60000018,2015,2258,2
60000018,2016,2290,2
60000018,2017,2054,3
60000018,2018,2106,3
60000018,2019,1938,4
60000018,2020,2003,4
60000021,2017,2831,1
60000021,2018,2944,1
60000021,2019,3037,1
60000021,2020,3168,1
60000030,1999,1164,2
60000030,2000,1213,2
60000030,2001,1252,2
60000030,2002,1288,2
60000030,2003,1341,2
60000030,2004,1421,2
60000030,2005,1284,3
60000030,2006,1359,3
60000030,2007,1297,4
60000030,2008,1341,4
60000030,2009,1410,4
60000030,2010,1616,3
60000030,2011,1674,3
60000030,2012,2015,2
60000030,2013,2091,2
60000030,2014,1686,4
60000030,2015,1764,4
60000030,2016,1653,5
60000030,2017,1675,5
60000030,2018,1617,6
60000030,2019,2476,2
60000030,2020,2568,2
60000036,1994,270,5
60000036,1995,286,10
60000036,1996,323,14
60000036,1997,399,14
60000036,1998,455,15
60000036,1999,454,16
60000036,2000,462,17
60000036,2001,494,16
60000036,2002,468,19
60000036,2003,430,23
60000036,2004,502,20
60000036,2005,529,20
60000036,2006,510,23
60000036,2007,474,28
60000036,2008,476,30
60000036,2009,411,40
60000036,2010,406,43
60000036,2011,412,44
60000036,2012,391,52
60000036,2013,380,55
60000036,2014,453,49
60000036,2015,432,54
60000036,2016,372,68
60000036,2017,369,71
60000036,2018,378,71
60000036,2019,376,72
60000036,2020,389,73
60000050,1998,1367,1
60000050,1999,1426,1
60000050,2000,1481,1
60000050,2001,1531,1
60000050,2002,1581,1
60000050,2003,1627,1
60000050,2004,1694,1
60000050,2005,1759,1
60000050,2006,1543,2
60000050,2007,1297,4
60000050,2008,1341,4
60000050,2009,1410,4
60000050,2010,1342,5
60000050,2011,1517,4
60000050,2012,2015,2
60000050,2013,2543,1
60000050,2014,2166,2
60000050,2015,2258,2
60000050,2016,1810,4
60000050,2017,1675,5
60000050,2018,1417,8
60000050,2019,1448,8
60000050,2020,1277,11
60000060,1994,317,4
60000060,1995,339,8
60000060,1996,373,11
60000060,1997,420,13
60000060,1998,455,15
60000060,1999,469,15
60000060,2000,518,14
60000060,2001,509,15
60000060,2002,495,17
60000060,2003,510,17
60000060,2004,502,20
60000060,2005,510,21
60000060,2006,542,21
60000060,2007,569,21
60000060,2008,537,25
60000060,2009,578,25
60000060,2010,520,31
60000060,2011,494,36
60000060,2012,496,38
60000060,2013,505,40
60000060,2014,496,43
60000060,2015,480,47
60000060,2016,451,53
60000060,2017,407,62
60000060,2018,423,61
60000060,2019,443,60
60000060,2020,476,58
60000061,2015,2723,1
60000061,2016,2778,1
60000061,2017,2831,1
60000061,2018,2944,1
60000061,2019,2476,2
60000061,2020,3168,1
60000071,1999,1426,1
60000071,2000,1481,1
60000071,2001,1252,2
60000071,2002,1288,2
60000071,2003,1341,2
60000071,2004,1694,1
60000071,2005,1759,1
60000071,2007,1963,1
60000071,2008,2085,1
60000071,2009,2176,1
60000071,2010,1855,2
60000071,2011,1924,2
60000071,2012,2015,2
60000071,2013,1814,3
60000071,2014,1891,3
60000071,2015,2258,2
60000071,2016,2290,2
60000071,2017,2831,1
60000071,2019,3037,1
60000071,2020,2568,2
60000078,2020,3168,1
60000081,2017,2831,1
60000081,2018,1890,4
60000081,2019,1938,4
60000081,2020,1815,5
60000082,2000,1481,1
60000082,2001,1531,1
60000082,2002,1581,1
60000082,2003,1627,1
60000082,2004,1694,1
60000099,1994,473,2
60000099,1995,685,2
60000099,1996,858,2
60000099,1997,998,2
60000099,1998,962,3
60000099,1999,1426,1
60000099,2000,1481,1
60000099,2001,1252,2
60000099,2002,1007,4
60000099,2003,886,6
60000099,2004,869,7
60000099,2005,752,10
60000099,2006,712,13
60000099,2007,692,15
60000099,2008,768,14
60000099,2009,759,16
60000099,2010,874,13
60000099,2011,709,21
60000099,2012,738,21
60000099,2013,756,21
60000099,2014,788,20
60000099,2015,774,22
60000099,2016,1197,10
60000099,2017,1225,10
60000099,2018,1140,12
60000099,2019,1229,11
60000099,2020,1173,13
60000101,2003,1627,1
60000101,2004,1694,1
60000101,2005,1759,1
60000101,2006,1857,1
60000101,2007,1963,1
60000102,2012,2015,2
60000102,2013,1814,3
60000102,2014,1891,3
60000102,2015,1975,3
60000102,2016,2013,3
60000102,2017,2336,2
60000102,2018,2944,1
60000102,2019,3037,1
60000102,2020,2219,3
60000112,1994,164,9
60000112,1995,172,18
60000112,1996,215,24
60000112,1997,238,30
60000112,1998,209,44
60000112,1999,232,43
60000112,2000,238,45
60000112,2001,229,49
60000112,2002,185,62
60000112,2003,174,70
60000112,2004,179,75
60000112,2005,158,90
60000112,2006,165,96
60000112,2007,164,103
60000112,2008,178,102
60000112,2009,169,114
60000112,2010,188,109
60000112,2011,180,117
60000112,2012,182,121
60000112,2013,171,135
60000112,2014,167,141
60000112,2015,154,154
60000112,2016,171,147
60000112,2017,179,145
60000112,2018,198,134
60000112,2019,202,133
60000112,2020,246,118
60000130,1995,868,1
60000130,1996,858,2
60000130,1997,998,2
60000130,1998,1121,2
60000130,1999,1007,3
60000130,2000,938,4
60000130,2001,875,5
60000130,2002,698,9
60000130,2003,575,14
60000130,2004,535,18
60000130,2005,492,22
60000130,2006,457,27
60000130,2007,484,27
60000130,2008,510,27
60000130,2009,578,25
60000130,2010,658,22
60000130,2011,709,21
60000130,2012,738,21
60000130,2013,773,20
60000130,2014,704,25
60000130,2015,696,27
60000130,2016,754,24
60000130,2017,824,21
60000130,2018,844,21
60000130,2019,884,20
60000130,2020,924,20
60000134,2017,2831,1
60000134,2018,2410,2
60000134,2019,2476,2
60000134,2020,2568,2
60000135,1998,1367,1
60000135,1999,1164,2
60000135,2000,1213,2
60000135,2001,1252,2
60000135,2002,1288,2
60000135,2003,1341,2
60000135,2004,1421,2
60000135,2005,1284,3
60000135,2006,1359,3
60000135,2007,1433,3
60000135,2008,1728,2
60000135,2009,1800,2
60000135,2010,2287,1
60000135,2011,2363,1
60000135,2012,2446,1
60000135,2013,2543,1
60000135,2015,2258,2
60000135,2016,2290,2
60000135,2017,2054,3
60000135,2018,2106,3
60000135,2019,1938,4
60000135,2020,2568,2
60000138,2004,1421,2
60000138,2005,1284,3
60000138,2006,1359,3
60000138,2007,1433,3
60000138,2008,1488,3
60000138,2009,1800,2
60000138,2010,2287,1
60000138,2011,2363,1
60000138,2012,2446,1
60000138,2013,2543,1
60000138,2014,2623,1
60000138,2015,1975,3
60000138,2016,2013,3
60000138,2017,1675,5
60000138,2018,1617,6
60000138,2019,1656,6
60000138,2020,1815,5
60000141,2017,2831,1
60000141,2018,2944,1
60000141,2019,3037,1
60000141,2020,3168,1
60000142,1994,618,1
