institution,year,rank,score
60000009,1995,1108,3.329
60000009,1996,1269,4.744
60000009,1997,1432,4.744
60000009,1998,1594,4.744
60000009,1999,1644,4.744
60000009,2000,1111,19.007
60000009,2001,1103,20.591
60000009,2002,1085,21.856
60000009,2003,720,53.178
60000009,2004,614,74.820
60000009,2005,756,58.684
60000009,2006,766,65.387
60000009,2007,747,75.621
60000009,2008,963,53.074
60000009,2009,1000,54.403
60000009,2010,693,120.775
60000009,2011,644,156.076
60000009,2012,651,175.844
60000009,2013,650,192.106
60000009,2014,704,172.525
60000009,2015,937,109.894
60000009,2016,967,106.922
60000009,2017,1058,93.946
60000009,2018,827,153.315
60000009,2019,719,195.877
60000009,2020,698,218.475
60000015,2006,2629,0.964
60000015,2007,2747,0.964
60000015,2008,2880,0.964
60000015,2009,2995,0.964
60000015,2010,3120,0.964
60000015,2013,2622,7.073
60000015,2014,2693,8.222
60000015,2015,2778,8.222
60000015,2016,2839,8.222
60000015,2017,2914,8.222
60000015,2018,4013,1.149
60000018,2004,1572,11.222
60000018,2005,1599,11.222
60000018,2006,1678,11.222
60000018,2007,1750,11.222
60000018,2008,1885,11.222
60000018,2009,1784,14.050
60000018,2010,1902,14.050
60000018,2011,2053,14.050
60000018,2012,2149,14.050
60000018,2013,1574,33.740
60000018,2014,2040,19.690
60000018,2015,1738,32.562
60000018,2016,1787,32.562
60000018,2017,1664,38.654
60000018,2018,2083,24.565
60000018,2019,1760,37.675
60000018,2020,2031,29.814
60000021,2017,2354,17.875
60000021,2018,2399,17.875
60000021,2019,2449,17.875
60000021,2020,2506,17.875
60000030,1999,1340,13.349
60000030,2000,1336,13.349
60000030,2001,1335,13.349
60000030,2002,1346,13.349
60000030,2003,1376,13.349
60000030,2004,1976,5.490
60000030,2005,1421,14.350
60000030,2006,1491,14.350
60000030,2007,1557,15.106
60000030,2008,1638,15.106
60000030,2009,1623,18.596
60000030,2010,2213,9.736
60000030,2011,2352,9.736
60000030,2012,2475,8.980
60000030,2013,2550,8.980
60000030,2014,2187,17.043
60000030,2015,2294,17.043
60000030,2016,2204,19.645
60000030,2017,2248,19.645
60000030,2018,1876,31.534
60000030,2019,2613,14.491
60000030,2020,2734,14.491
60000036,1994,443,17.906
60000036,1995,298,74.664
60000036,1996,339,96.248
