plc_score-w-std,adv_ev-w-win99-std,first_ev-w-win99-std_mean,adv_euclid,adv_experience,adviser,stu_sex,school_rank-w,stu_year,stu_jel,stu_school,adv_occ
,0.0969175131541417,0.1804069235320555,89.482,23,a6701477304,female,21,2001,J,Columbia University,4.0
,0.0969175131541417,0.1804069235320555,89.482,23,a6701477304,male,27,2001,F,University of Minnesota,4.0
5.898877286462834,0.0969175131541417,0.1804069235320555,89.482,23,a6701477304,male,1,2001,D,"University of California, Berkeley",4.0
,,,21.331,13,a15751966900,male,281,2001,O,Kansas State University,0.0
,-0.1670044310780609,-0.1661022860820346,3.3166,3,a6602837092,male,418,2002,F,Carleton University,0.0
,-0.1414570703392796,-0.1397255159603159,41.146,12,a7003441993,male,196,2003,O,George Washington University,3.0
-0.2818824105235024,-0.1414570703392796,-0.1397255159603159,41.146,12,a7003441993,male,35,2003,I,University of Maryland,3.0
,-0.1414570703392796,-0.1397255159603159,41.146,12,a7003441993,female,278,2003,F,Utah State University,3.0
0.373086562974584,-0.1414570703392796,-0.1397255159603159,41.146,12,a7003441993,male,158,2003,F,University of Houston,3.0
,-0.1414570703392796,-0.1397255159603159,41.146,12,a7003441993,male,219,2003,J,University of South Carolina,3.0
,-0.1414570703392796,-0.1397255159603159,41.146,12,a7003441993,male,196,2003,I,George Washington University,3.0
,-0.1414570703392796,-0.1397255159603159,41.146,12,a7003441993,male,76,2003,D,Oregon State University,3.0
,-0.1657199988296351,-0.1440279356474137,5.9161,2,a6602250841,male,113,2002,O,Purdue University,1.0
,-0.1507874867824887,-0.0802191022188049,50.1,8,a6603823807,male,14,2002,F,University of Pennsylvania,0.0
,-0.1672105328474775,-0.1671823695673659,178.18,33,a7004507510,female,45,2002,O,Brown University,1.0
,,,47.064,21,a7005001247,female,9,2002,F,University of Chicago,0.0
,-0.1427601299174956,-0.1413635118951038,51.614,12,a6701691043,male,424,2004,E,George Mason University,1.0
4.556183218203184,-0.1427601299174956,-0.1413635118951038,51.614,12,a6701691043,male,1193,2004,O,New School for Social Research,1.0
,-0.1486309040279295,-0.1479111791182898,19.313,21,a7004703197,female,222,2000,J,Georgetown University,1.0
0.223295594678742,-0.1564060623928464,-0.1417080211300579,65.031,11,a7004046424,male,337,2002,O,Northeastern University,2.0
,0.0869497434680746,0.1677799868054306,175.42,18,a6701894742,male,612,2002,O,Fordham University,1.0
0.9178211707460664,0.0869497434680746,0.1677799868054306,175.42,18,a6701894742,male,37,2002,E,University of British Columbia,1.0
,0.0869497434680746,0.1677799868054306,175.42,18,a6701894742,female,6,2002,C,Yale University,1.0
,0.0869497434680746,0.1677799868054306,175.42,18,a6701894742,female,612,2002,O,Fordham University,1.0
,,,201.72,32,a7004640479,male,69,2003,E,Vanderbilt University,0.0
,,,201.72,32,a7004640479,male,58,2003,G,Texas A&M University,0.0
,,,201.72,32,a7004640479,male,129,2003,O,University of Missouri,0.0
,,,201.72,32,a7004640479,male,37,2003,O,"University of California, Irvine",0.0
0.1258480770128304,3.550919757859065,0.9056228056710688,94.594,18,a6602267759,female,15,2001,J,University of Wisconsin,1.0
,3.550919757859065,0.9056228056710688,94.594,18,a6602267759,male,58,2001,M,University of Pittsburgh,1.0
,,,11.705,27,a6602161395,male,15,2001,M,University of Wisconsin,0.0
