plc_score-w-std,adv_ev-w-win99-std,first_ev-w-win99-std_mean,adv_euclid,adv_experience,adviser,stu_sex,school_rank-w,stu_year,stu_jel,stu_school,adv_occ
,-0.1577126959064869,-0.148511123545241,126.99,18,a7003604078,female,21,2001,J,Columbia University,0.0
,,,17.205,27,a7006756378,male,281,2001,O,Kansas State University,0.0
,-0.1667192281715775,-0.1661396677911649,70.93,14,a6603550073,male,418,2002,F,Carleton University,0.0
,-0.1425020074594645,-0.1425160663667444,17.972,8,a6602125028,male,196,2003,O,George Washington University,2.0
0.861575753773519,-0.1425020074594645,-0.1425160663667444,17.972,8,a6602125028,male,2,2003,O,Harvard University,2.0
,-0.1230349407402862,0.0732214252428036,20.174,3,a6602566696,male,113,2002,O,Purdue University,2.0
1.1709981823738234,-0.1230349407402862,0.0732214252428036,20.174,3,a6602566696,male,36,2002,O,University of Maryland,2.0
,-0.1230349407402862,0.0732214252428036,20.174,3,a6602566696,male,1,2002,O,"University of California, Berkeley",2.0
,,,9.0,13,a35860073700,male,14,2002,F,University of Pennsylvania,0.0
,,,9.0,13,a35860073700,male,21,2002,F,University of Michigan,0.0
,-0.1589770109764957,-0.1092340657355752,13.342,11,a7003730184,female,45,2002,O,Brown University,0.0
,-0.1589770109764957,-0.1092340657355752,13.342,11,a7003730184,female,991,2002,O,Claremont Graduate University,0.0
,,,4.1231,13,a56169112500,female,9,2002,F,University of Chicago,0.0
,-0.1381871823731825,-0.103966118237488,62.841,25,a56207793000,male,424,2004,E,George Mason University,2.0
-0.1497459503141914,-0.1381871823731825,-0.103966118237488,62.841,25,a56207793000,male,41,2004,E,University of Texas,2.0
,-0.1383391400462638,-0.1079260087092222,23.664,9,a7003441993,female,222,2000,J,Georgetown University,2.0
0.223295594678742,-0.1018602745530964,-0.0430088281419493,67.868,16,a35885159600,male,337,2002,O,Northeastern University,1.0
,-0.0698711364915284,-0.0480823587899066,32.726,17,a6603700685,male,612,2002,O,Fordham University,0.0
,-0.0698711364915284,-0.0480823587899066,32.726,17,a6603700685,male,655,2002,O,American University,0.0
,-0.1421651887911509,-0.1403033328864093,38.91,6,a6701711758,male,69,2003,E,Vanderbilt University,0.0
