="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)",="(73)",="(74)",="(75)",="(76)",="(77)",="(78)",="(79)",="(80)",="(81)",="(82)",="(83)",="(84)",="(85)",="(86)",="(87)",="(88)",="(89)",="(90)",="(91)",="(92)",="(93)",="(94)",="(95)",="(96)",="(97)",="(98)",="(99)",="(100)"
="",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd"
="adv_evwwin99std",="-0.720",="-0.0249",="0.587",="0.370",="-2.286",="-1.066",="-0.527",="-3.679",="-1.109",="-1.748",="-2.763",="-0.618",="-0.476",="-0.338",="1.021",="1.248",="-0.0538",="-0.213",="1.640",="-0.553",="1.065",="-1.306",="0.590",="2.448",="0.922",="0.863",="-0.0772",="0.749",="-1.480",="-0.311",="-0.339",="0.334",="-1.503",="-0.124",="-1.294",="0.314",="-0.454",="0.660",="1.226",="2.598",="0.610",="-1.650",="0.285",="0.427",="-1.839",="-0.512",="-0.372",="-0.374",="-1.294",="-0.899",="4.009",="1.017",="0.517",="-0.369",="0.713",="0.474",="3.555",="-0.308",="2.232",="-0.625",="0.289",="-0.0551",="-0.0784",="-0.328",="2.351",="-0.164",="0.0813",="-1.075",="1.389",="0.0827",="-0.333",="2.145",="-0.198",="1.532",="0.166",="-0.443",="4.365",="-0.0364",="-2.493",="0.489",="-0.378",="-0.0845",="3.246",="2.447",="-0.313",="-1.120",="0.389",="0.759",="0.656",="1.445",="2.104",="0.218",="1.181",="0.0979",="-1.321",="-0.553",="-1.304",="2.032",="-1.128",="0.255"
="",="0.740",="0.956",="0.289",="0.167",="0.073",="0.079",="0.462",="0.047",="0.153",="0.210",="0.023",="0.623",="0.413",="0.669",="0.217",="0.581",="0.921",="0.858",="0.039",="0.464",="0.201",="0.139",="0.232",="0.195",="0.000",="0.124",="0.924",="0.000",="0.184",="0.424",="0.580",="0.419",="0.363",="0.751",="0.459",="0.651",="0.712",="0.596",="0.004",="0.004",="0.257",="0.133",="0.639",="0.490",="0.114",="0.667",="0.365",="0.521",="0.222",="0.518",="0.064",="0.629",="0.410",="0.499",="0.405",="0.280",="0.197",="0.633",="0.294",="0.235",="0.407",="0.969",="0.972",="0.423",="0.111",="0.763",="0.956",="0.418",="0.285",="0.830",="0.443",="0.360",="0.972",="0.086",="0.863",="0.414",="0.733",="0.957",="0.119",="0.391",="0.384",="0.890",="0.156",="0.012",="0.711",="0.589",="0.519",="0.321",="0.857",="0.094",="0.121",="0.643",="0.184",="0.892",="0.008",="0.553",="0.114",="0.094",="0.691",="0.605"
="adv_euclid",="0.00426",="-0.0181",="-0.00611",="-0.0161",="0.0144",="0.0102",="-0.0102",="-0.00742",="0.00410",="-0.00296",="-0.00588",="0.00624",="0.00449",="0.00153",="0.00863",="-0.00318",="0.0162",="0.00360",="0.00203",="0.00588",="-0.000451",="-0.00322",="0.0179",="0.0162",="0.00804",="-0.00539",="0.00436",="0.00403",="0.00440",="-0.00791",="0.00474",="-0.00193",="-0.00262",="-0.0184",="0.00199",="-0.00232",="0.0104",="-0.00253",="-0.00947",="0.00865",="-0.00356",="-0.00133",="-0.00564",="-0.00531",="0.00578",="-0.00509",="-0.0124",="0.00167",="-0.000169",="-0.0250",="0.0491",="0.00818",="-0.00410",="0.0107",="-0.000330",="0.00404",="0.0185",="0.0154",="0.0137",="-0.0225",="-0.00206",="0.0274",="0.000877",="0.00139",="0.0100",="0.00483",="-0.00629",="0.00699",="0.00321",="0.00576",="0.0103",="0.00694",="0.0101",="0.00280",="-0.00587",="-0.00115",="0.00417",="-0.00680",="0.00400",="-0.00319",="0.00482",="-0.00345",="0.00558",="-0.00746",="0.0169",="0.00711",="-0.00123",="0.00569",="0.00417",="0.00201",="0.000191",="-0.00206",="0.0288",="-0.00388",="-0.0271",="-0.000784",="0.00300",="-0.0106",="-0.0146",="-0.00258"
="",="0.593",="0.198",="0.486",="0.000",="0.178",="0.233",="0.225",="0.019",="0.278",="0.766",="0.110",="0.132",="0.488",="0.797",="0.124",="0.773",="0.040",="0.540",="0.693",="0.276",="0.939",="0.482",="0.039",="0.003",="0.319",="0.163",="0.508",="0.395",="0.665",="0.319",="0.535",="0.813",="0.726",="0.016",="0.723",="0.725",="0.082",="0.627",="0.283",="0.295",="0.457",="0.828",="0.250",="0.474",="0.490",="0.569",="0.071",="0.767",="0.983",="0.009",="0.015",="0.241",="0.566",="0.036",="0.972",="0.290",="0.128",="0.049",="0.068",="0.011",="0.856",="0.002",="0.900",="0.577",="0.325",="0.549",="0.252",="0.378",="0.736",="0.124",="0.008",="0.287",="0.843",="0.740",="0.498",="0.820",="0.322",="0.188",="0.622",="0.451",="0.397",="0.627",="0.487",="0.446",="0.014",="0.488",="0.819",="0.309",="0.485",="0.646",="0.973",="0.680",="0.004",="0.724",="0.002",="0.951",="0.746",="0.257",="0.651",="0.792"
="2.stu_sex",="-0.452",="-0.0343",="-0.578",="0.111",="0.158",="0.323",="0.774",="0.0905",="0.128",="-0.684",="0.284",="0.669",="0.884",="0.417",="0.0559",="0.595",="-0.0330",="-0.0856",="-0.340",="0.0755",="-0.00630",="0.560",="-0.397",="-0.0439",="-0.0686",="0.338",="0.811",="0.0845",="-0.159",="-0.0136",="0.0484",="-0.314",="0.504",="0.221",="0.222",="-0.137",="0.186",="0.415",="0.581",="0.785",="0.229",="0.339",="0.124",="0.479",="0.103",="0.557",="0.786",="0.0725",="0.181",="0.685",="-1.124",="-0.275",="0.360",="0.0384",="0.0910",="0.0684",="0.582",="0.861",="-0.206",="-0.140",="0.982",="-0.547",="0.719",="0.660",="-0.0173",="-0.160",="-0.0560",="-0.412",="-0.186",="0.669",="0.247",="-0.0685",="-0.360",="0.124",="0.283",="-0.184",="0.145",="0.0568",="0.712",="-0.257",="-0.404",="-0.280",="0.0592",="0.173",="0.192",="0.157",="-0.262",="0.187",="0.295",="0.303",="0.0360",="-0.237",="0.195",="-0.0442",="-0.362",="0.497",="0.189",="0.390",="-0.140",="0.143"
="",="0.385",="0.935",="0.283",="0.820",="0.638",="0.440",="0.072",="0.849",="0.794",="0.252",="0.529",="0.102",="0.047",="0.277",="0.910",="0.187",="0.937",="0.865",="0.482",="0.875",="0.989",="0.116",="0.419",="0.936",="0.896",="0.413",="0.088",="0.870",="0.728",="0.975",="0.907",="0.375",="0.264",="0.583",="0.671",="0.726",="0.727",="0.311",="0.165",="0.075",="0.513",="0.518",="0.758",="0.256",="0.844",="0.181",="0.081",="0.861",="0.674",="0.143",="0.117",="0.600",="0.363",="0.931",="0.857",="0.881",="0.177",="0.065",="0.609",="0.729",="0.011",="0.247",="0.162",="0.153",="0.969",="0.749",="0.910",="0.301",="0.639",="0.039",="0.547",="0.871",="0.395",="0.764",="0.550",="0.729",="0.746",="0.890",="0.219",="0.476",="0.468",="0.526",="0.913",="0.719",="0.668",="0.702",="0.559",="0.628",="0.480",="0.568",="0.928",="0.522",="0.600",="0.924",="0.330",="0.370",="0.710",="0.405",="0.693",="0.750"
="school_rankw",="-0.00246",="-0.00341",="-0.00236",="-0.00205",="-0.00113",="-0.00395",="-0.00436",="-0.00380",="-0.00348",="-0.00306",="-0.00242",="-0.00175",="-0.00275",="-0.00143",="-0.00459",="-0.00380",="-0.00277",="-0.00400",="-0.00378",="-0.00287",="-0.00149",="-0.00447",="-0.00396",="-0.00248",="-0.00272",="-0.00188",="-0.00235",="-0.00295",="-0.00366",="-0.00192",="-0.00342",="-0.00369",="-0.00443",="-0.00343",="-0.00201",="-0.00484",="-0.00512",="-0.00272",="-0.00283",="-0.00395",="-0.00283",="-0.000865",="-0.00222",="-0.00228",="-0.00267",="-0.00233",="-0.00499",="-0.00254",="-0.00396",="-0.00311",="-0.00454",="-0.00413",="-0.00485",="-0.00379",="-0.00240",="-0.00258",="-0.00312",="-0.00285",="-0.00248",="-0.00226",="-0.00257",="-0.00367",="-0.00309",="-0.00373",="-0.00437",="-0.00303",="-0.00313",="-0.00280",="-0.00167",="-0.00229",="-0.00155",="-0.00210",="-0.00503",="-0.00221",="-0.00125",="-0.00257",="-0.00254",="-0.00228",="-0.00381",="-0.00235",="-0.00398",="-0.00119",="-0.00268",="-0.00297",="-0.00468",="-0.00415",="-0.00196",="-0.00404",="-0.00335",="-0.00459",="-0.00353",="-0.00313",="-0.00250",="-0.00233",="-0.00163",="-0.00393",="-0.00251",="-0.00191",="-0.00263",="-0.00286"
="",="0.123",="0.011",="0.049",="0.098",="0.338",="0.003",="0.003",="0.012",="0.014",="0.058",="0.004",="0.120",="0.012",="0.220",="0.000",="0.004",="0.007",="0.000",="0.003",="0.008",="0.210",="0.000",="0.006",="0.056",="0.001",="0.125",="0.016",="0.004",="0.008",="0.185",="0.011",="0.001",="0.000",="0.013",="0.102",="0.001",="0.000",="0.052",="0.016",="0.002",="0.015",="0.484",="0.038",="0.061",="0.069",="0.107",="0.023",="0.037",="0.036",="0.048",="0.002",="0.004",="0.001",="0.016",="0.105",="0.077",="0.031",="0.001",="0.031",="0.053",="0.008",="0.024",="0.049",="0.004",="0.000",="0.023",="0.031",="0.050",="0.104",="0.014",="0.229",="0.053",="0.003",="0.096",="0.358",="0.053",="0.068",="0.023",="0.009",="0.183",="0.000",="0.443",="0.061",="0.002",="0.001",="0.001",="0.048",="0.026",="0.006",="0.006",="0.046",="0.014",="0.035",="0.058",="0.189",="0.000",="0.115",="0.065",="0.020",="0.006"
