institution,2000,2001,2002,2003,2004
Abilene Christian University,7,8,8,9,3
Acadia University,1,1,1,1,2
Adams State University,1,2,2,2,2
Adelphi University,4,5,5,6,4
Alabama A&M University,7,7,7,8,6
Alabama State University,5,5,5,5,5
Albany State University,2,5,4,5,3
Alcorn State University,1,2,1,1,1
Alfred University,4,4,1,1,2
Alliant International University,5,0,0,0,0
American University,33,34,30,35,32
Anderson University,0,0,0,1,0
Andrews University,4,1,1,2,1
Angelo State University,2,3,4,4,4
Appalachian State University,41,25,23,27,16
Arcadia University,0,2,3,3,3
Arizona State University,131,79,72,76,44
Arkansas State University,12,10,10,11,7
Arkansas Tech University,4,2,1,2,1
Armstrong State University,2,3,3,3,3
Ashland University,7,6,5,4,2
Athabasca University,3,3,3,3,5
Athens State University,2,0,0,0,0
Athens University of Economics and Business,5,5,8,0,0
Auburn University,54,33,31,31,22
Auburn University at Montgomery,10,8,6,12,2
Augsburg University,0,2,2,2,2
Augusta State University,6,6,6,6,4
Aurora University,0,0,1,1,0
Austin Peay State University,3,3,3,3,2
Australian Graduate School of Management,4,0,0,0,0
Australian National University,8,6,5,11,0
Azusa Pacific University,1,1,1,1,1
BI Norwegian Business School,2,2,2,0,0
Ball State University,38,28,27,27,21
Bangor University,7,3,3,6,0
Barry University,9,9,8,9,4
Baylor University,54,29,30,33,19
Bellevue University,1,1,2,2,2
Belmont University,12,8,8,11,3
Bemidji State University,4,3,3,3,2
Benedictine University,2,2,2,2,2
Binghamton University,38,28,23,27,23
Biola University,2,1,1,1,0
Bishop's University,1,0,0,0,0
Bloomsburg University of Pennsylvania,7,8,8,10,5
Boise State University,16,18,18,19,12
Bond University,10,6,2,0,0
Boston College,63,45,45,47,35
Boston University,81,48,39,50,37
Bournemouth University,2,0,0,1,0
Bowling Green State University,31,24,24,27,15
Bradley University,15,16,16,15,10
Brandeis University,10,18,17,17,13
Brescia University,1,1,1,1,1
Brigham Young University,100,72,68,72,36
"Brigham Young University, Hawaii",3,2,1,2,1
Brock University,13,13,12,12,9
Brown University,23,27,22,29,19
Bucknell University,17,19,18,19,15
Buena Vista University,1,0,0,1,1
Butler University,17,12,11,10,7
"CUNY, Baruch College",73,46,43,46,34
"CUNY, Brooklyn College",10,12,11,12,12
"CUNY, College of Staten Island",5,4,6,5,5
"CUNY, Hunter College",13,11,9,10,8
"CUNY, Lehman College",2,2,2,2,2
"CUNY, Queens College",19,20,18,21,12
California Institute of Technology,14,14,13,16,10
California Lutheran University,3,3,3,3,3
California Polytechnic State University,28,20,16,16,8
"California State Polytechnic University, Pomona",14,15,14,16,10
"California State University, Bakersfield",14,12,10,12,6
"California State University, Chico",29,18,19,17,13
"California State University, Dominguez Hills",8,7,7,6,5
"California State University, East Bay",36,24,25,27,14
"California State University, Fresno",29,21,17,20,11
"California State University, Fullerton",64,37,31,31,21
"California State University, Long Beach",36,34,30,33,23
"California State University, Los Angeles",40,29,26,29,25
"California State University, Northridge",35,37,34,33,23
"California State University, Sacramento",29,23,23,32,20
"California State University, San Bernardino",19,19,19,19,14
"California State University, San Marcos",18,10,7,8,7
"California State University, Stanislaus",13,7,7,8,5
California University of Pennsylvania,2,2,2,2,2
Cameron University,6,6,6,7,6
Campbell University,1,1,1,2,3
Capital University,5,4,4,2,1
Cardiff University,9,10,10,13,0
Carleton University,22,14,11,11,10
Carnegie Mellon University,60,40,39,40,29
Case Western Reserve University,27,28,25,24,18
Catholic University of America,7,8,7,7,8
Central Connecticut State University,12,9,7,7,6
Central Michigan University,28,27,27,30,25
Central State University,1,0,0,0,0
Central Washington University,14,11,10,13,10
Chaminade University,0,1,1,1,1
Chapman University,11,6,8,8,6
Chicago State University,3,4,4,4,3
Chinese University of Hong Kong,11,9,9,0,0
Christian Brothers University,5,4,4,4,3
Christopher Newport University,13,10,10,8,5
Chulalongkorn University,0,0,0,3,0
Chung-Ang University,4,5,0,0,0
City College of New York,7,7,7,7,7
City University Hong Kong,58,12,10,0,0
City University London,5,0,0,0,0
Claremont Graduate University,12,0,0,0,0
Clarion University of Pennsylvania,12,9,8,7,5
Clark Atlanta University,8,8,8,8,7
Clark University,22,13,12,14,9
Clarkson University,9,10,9,8,5
Clayton State University,4,2,2,2,2
Clemson University,53,35,34,39,24
Cleveland State University,29,17,16,18,14
Coastal Carolina University,6,4,4,5,3
Colgate University,12,16,15,15,14
Colorado State University,42,29,28,30,21
Colorado State University Pueblo,6,6,4,4,3
Columbia University,100,86,80,89,69
Columbus State University,10,4,2,3,4
Concordia University,34,21,20,20,17
Cornell University,41,45,42,47,36
Coventry University,1,0,0,0,0
Creighton University,16,10,12,13,7
Dalhousie University,2,2,2,2,0
Dallas Baptist University,3,2,1,1,0
Dartmouth College,50,35,35,35,31
DePaul University,61,48,47,46,37
DePauw University,4,4,3,7,6
Deakin University,4,4,3,6,0
Delaware State University,5,5,4,3,4
Delta State University,4,4,2,3,1
Denison University,6,6,6,8,8
Dominican University,2,2,3,3,3
Dongguk University,4,4,4,5,0
Drake University,14,9,6,8,6
Drew University,5,5,3,4,3
Drexel University,25,23,20,25,19
Drury University,3,3,1,2,1
Dublin City University,0,5,4,0,0
Duke University,56,39,37,59,51
Duquesne University,12,13,12,12,5
ESCP Business School,2,2,5,0,0
ESSEC,9,9,9,0,0
East Carolina University,49,32,27,30,18
East Central University,0,0,1,0,0
East Stroudsburg University of Pennsylvania,1,1,1,1,1
East Tennessee State University,26,14,17,17,10
Eastern Connecticut State University,4,4,3,4,4
Eastern Illinois University,20,18,19,18,14
Eastern Kentucky University,14,9,9,12,9
Eastern Michigan University,35,22,19,22,15
Eastern New Mexico University,5,2,2,3,2
Eastern Oregon University,2,2,1,1,0
Eastern Washington University,14,13,13,14,11
Edinboro University,2,3,3,4,4
Elizabeth City State University,0,0,0,1,0
Elon University,9,10,9,9,10
Embry-Riddle Aeronautical University,14,6,3,3,3
Emory University,46,27,28,35,25
Emporia State University,7,7,9,7,3
Fairfield University,20,17,18,19,14
Fairleigh Dickinson University,24,14,14,15,11
Fayetteville State University,5,4,4,3,5
Ferris State University,2,4,3,4,2
Flinders University,3,0,0,0,0
Florida A&M University,7,6,5,5,4
Florida Atlantic University,47,39,38,37,23
Florida Gulf Coast University,6,6,8,9,5
Florida Institute of Technology,6,7,6,7,6
Florida International University,52,44,39,38,25
Florida State University,83,65,62,67,52
Fordham University,36,36,38,36,26
Fort Hays State University,8,7,6,7,6
Fort Valley State University,1,2,2,1,1
Francis Marion University,5,4,3,6,5
Free University Amsterdam,2,1,1,1,0
Frostburg State University,15,9,8,9,9
Furman University,8,8,9,10,8
Gallaudet University,1,2,2,2,2
Gannon University,2,2,2,0,0
Gardner-Webb University,0,0,1,1,1
George Fox University,2,2,2,2,1
George Mason University,29,28,28,36,32
George Washington University,96,44,39,38,34
Georgetown University,44,42,40,43,32
Georgia College & State University,12,9,7,8,6
Georgia Institute of Technology,27,17,19,24,17
Georgia Southern University,30,19,18,24,16
Georgia Southwestern State University,1,1,1,2,0
Georgia State University,122,69,72,71,53
Golden Gate University,4,1,1,1,1
Gonzaga University,10,11,10,10,5
Governors State University,10,2,2,2,2
Grambling State University,4,1,1,0,0
Grand Valley State University,32,16,16,17,11
Griffith University,19,13,13,17,0
HEC Montreal,12,3,3,4,0
HEC Paris,6,5,5,5,0
Hamline University,3,3,3,3,3
Hampton University,5,4,3,2,1
Hannibal–LaGrange University,0,1,1,1,0
Hardin-Simmons University,3,2,2,1,1
Harding University,1,1,1,1,0
Harvard University,67,84,79,80,63
Hawaii Pacific University,6,5,4,4,5
Hebrew University of Jerusalem,16,14,14,14,13
Helsinki School of Economics,4,4,4,5,0
Henderson State University,3,2,2,2,0
High Point University,2,2,2,2,0
Hitotsubashi University,1,1,1,1,0
Hofstra University,36,22,16,17,14
Hong Kong Polytechnic University,16,31,27,35,0
Hong Kong University of Science and Technology,37,41,38,20,0
Houston Baptist University,1,2,1,0,0
Howard University,28,30,25,26,22
Humboldt State University,7,5,5,5,5
INSEAD,42,21,20,21,7
Idaho State University,25,14,14,14,11
Illinois Institute of Technology,12,4,3,2,3
Illinois State University,51,38,37,37,26
Illinois Wesleyan University,7,7,8,7,8
Indiana State University,20,17,17,17,13
Indiana University,80,63,64,64,45
Indiana University Kokomo,5,4,4,4,4
Indiana University Northwest,10,6,6,7,4
Indiana University South Bend,17,11,9,9,5
Indiana University Southeast,11,11,11,11,8
Indiana University of Pennsylvania,22,14,13,15,11
