Affiliation,Occurrences
60021406,70
60016293,39
60023612,31
60027030,17
60024886,12
60019743,11
60003873,10
60024915,10
60027607,10
60011045,9
60016483,9
60112568,9
60010003,8
60018468,8
60027567,8
60175871,8
100459031,7
60004447,7
60007869,7
60020722,7
60098792,7
100333843,6
60008840,6
60021658,6
60022332,6
60032205,6
60032280,6
60033340,6
60092432,6
101323568,5
60005819,5
60007893,5
60008319,5
60016505,5
60020337,5
60026391,5
60026627,5
60032704,5
60032775,5
60032970,5
60074770,5
60079687,5
60112315,5
100373721,4
100416946,4
100454822,4
60002180,4
60010152,4
60012156,4
60023755,4
60024009,4
60029193,4
60031864,4
60040480,4
60112594,4
UBS,4
100461356,3
105478155,3
112920734,3
60009635,3
60010237,3
60013830,3
60016459,3
60024782,3
60025452,3
60027596,3
60028395,3
60029504,3
60032291,3
60033103,3
60079183,3
60079338,3
60094689,3
60097929,3
60108973,3
60112497,3
60112571,3
100349025,2
100422984,2
100730404,2
100857783,2
100907730,2
111895926,2
122084713,2
60000499,2
60000840,2
60001262,2
60001466,2
60002558,2
60004976,2
60005016,2
60007710,2
60008845,2
60009357,2
60009478,2
60010104,2
60010458,2
60012981,2
60014300,2
60016163,2
60018290,2
60018610,2
60019499,2
60021975,2
60023520,2
60024977,2
60027040,2
60027183,2
60030961,2
60070791,2
60079846,2
60082963,2
60085698,2
60086760,2
60088733,2
60096776,2
60111700,2
60112314,2
60113164,2
60120447,2
Bank of Ecuador,2
Central Bank of Jordan,2
JD Power and Associates,2
Oliver Wyman,2
PanAgora Asset Management,2
State Street Associates,2
U.S. Competition Bureau,2
UnitedHealth Group,2
100327894,1
100355147,1
100357035,1
100374911,1
100380374,1
100395445,1
100397809,1
100449004,1
100468317,1
100490971,1
100523729,1
100569918,1
100596031,1
100691478,1
100744468,1
100754073,1
100793465,1
100810492,1
100812675,1
100817108,1
100840293,1
100843433,1
100929319,1
100991732,1
100997470,1
101120440,1
101262907,1
101399502,1
101508747,1
101958596,1
102007110,1
105450668,1
106959237,1
106965046,1
107482630,1
107990457,1
107995953,1
109867753,1
109897057,1
109936180,1
112475558,1
112645627,1
112836638,1
113004206,1
113020687,1
113084309,1
113815231,1
114439766,1
114544972,1
114737777,1
114838395,1
118836613,1
119958183,1
120747126,1
122020092,1
123197094,1
123535924,1
2004 Kerry presidential campaign,1
60000466,1
60000480,1
60000617,1
60000720,1
60000865,1
60000947,1
60001093,1
60001492,1
60001635,1
60001681,1
60001939,1
60002394,1
60002651,1
60002717,1
60002763,1
60003527,1
60003553,1
60003905,1
60004001,1
60004574,1
60005059,1
60005094,1
60005342,1
60005579,1
60005633,1
60005738,1
60005783,1
60005860,1
60005872,1
60006186,1
60006200,1
60006272,1
60006371,1
60006643,1
60006989,1
60007011,1
60007174,1
60007253,1
60007843,1
60007944,1
60008019,1
60008275,1
60008377,1
60008416,1
60008740,1
60009106,1
60009506,1
60009521,1
60010029,1
60010894,1
60011181,1
60011188,1
60011461,1
60011522,1
60011629,1
60011706,1
60011749,1
60011936,1
60012327,1
60012471,1
60012521,1
60012675,1
60012895,1
60012991,1
60013096,1
60013357,1
60013399,1
60013503,1
60013604,1
60013660,1
60013722,1
60013839,1
60013929,1
60014110,1
60014170,1
60014714,1
60015104,1
60015273,1
60015459,1
60016100,1
60016238,1
60016342,1
60016446,1
60016482,1
60016748,1
60017130,1
60017220,1
60017241,1
60017435,1
60017437,1
60018007,1
60018250,1
60018495,1
60018625,1
60018871,1
60019245,1
60020555,1
60020903,1
60021397,1
60021829,1
60022225,1
60022236,1
60022803,1
60022889,1
60024266,1
60024616,1
60024618,1
60024640,1
60024983,1
60024993,1
60025444,1
60025447,1
60025502,1
60025751,1
60027023,1
60027142,1
60027202,1
60027222,1
60027279,1
60027461,1
60027485,1
60027789,1
60028034,1
60028103,1
60028220,1
60028558,1
60028583,1
60028726,1
60028743,1
60029000,1
60029016,1
60029341,1
60030309,1
60030534,1
60030556,1
60031726,1
60031782,1
60031918,1
60031944,1
60032309,1
60032337,1
60032559,1
60032711,1
60032903,1
60032938,1
60033041,1
60033224,1
60033291,1
60033480,1
60048869,1
60053707,1
60059147,1
60061982,1
60067411,1
60068702,1
60069377,1
60070790,1
60071258,1
60071323,1
60071431,1
60071633,1
60072059,1
60072720,1
60074843,1
60075934,1
60076282,1
60076285,1
60078729,1
60078849,1
60079314,1
60081224,1
60087549,1
60088692,1
60088866,1
60090105,1
60091322,1
60092668,1
60094448,1
60094656,1
60094942,1
60097620,1
60097823,1
60100905,1
60101614,1
60102330,1
60102529,1
60103140,1
60104179,1
60104957,1
60105368,1
60108703,1
60109130,1
60109248,1
60109291,1
60109394,1
60109908,1
60110923,1
60112304,1
60112540,1
60112672,1
60112834,1
60112929,1
60112998,1
60115495,1
60119524,1
60122123,1
60136259,1
60139003,1
60158033,1
60158049,1
60159504,1
60159506,1
60159510,1
60159559,1
60159795,1
60175892,1
60212062,1
60257349,1
AES/Competition Policy Associates,1
AFP - Pension Fund Administrators,1
AXA Rosenberg,1
Afghan Ministry of Finance,1
Allen & Overy LLP,1
American InterContinental University-Houston,1
"ApplEcon, LLC",1
Arab African International Bank,1
Arab Monetary Fund,1
Armenian Technology Group Inc,1
Asociación Bancaria de Venezuela,1
"August-Gram Consulting, Inc",1
BCRA,1
BECN AG,1
BW Analytics,1
Bank Negara Malaysia,1
Bank of Guatemala,1
"BarCharts, Inc.",1
Barclays Capital,1
Beacon Hill Institute,1
Bell Canada Enterprises Inc,1
Bonneville Power Administration,1
Briggs & Stratton,1
Brown Brothers Harriman,1
Brown Harris Stevens,1
CHA,1
Calpine Corporation,1
Capital Economics,1
Center of Army Analysis,1
Citadel,1
Ecole Nationale des Ponts et Chaussées,1
Egypt Ministry of Industry and Foreign Trade,1
Energy Economics,1
Expand Beyond Corporation,1
"FRAI, Inc.",1
FUSADES,1
Fiscal Policy Research Institute (Bangkok),1
Fleet Credit Card Services,1
FlipChips Dot Com,1
Foundation for Latin American Economic Research,1
"Governor's Office, Colorado",1
Growling WLG Canada,1
"HDR/HLB Decision Economics, Inc.",1
Health Communication Network,1
Household International,1
Howard Dean Presidential Campaign,1
Howrey LLP,1
INCDE,1
ING,1
ITGINC,1
"IZET Innovationszentrum, Gesellschaft für Technologieförderung Itzehoe mbH",1
"InteCap, Inc.",1
International Copper Association,1
International maize and Wheat Improvement Center (CIMMYT),1
Iran Khoro Investment Co.,1
JP Morgan Chase,1
Japan Bank of International Cooperation,1
KB Kookmin Bank,1
Kelly Drye & Warren LLP,1
Kentucky Long-Term Policy Research Center,1
